This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"307329","RUSHFORD",-78.2517,42.3944,469,"COOP","24100"
"307705","SHERBURNE 2",-75.4833,42.6500,329,"COOP","24136"
"307742","SHRUB OAK",-73.8333,41.3333,128,"COOP","24140"
"307750","SILVER CREEK",-79.1428,42.5578,177,"COOP","24142"
"308962","WARSAW 6 SW",-78.2167,42.6833,555,"COOP","24250"
"309389","WHITEHALL",-73.4000,43.5500,36,"COOP","24286"
"309425","WHITESVILLE",-77.7647,42.0397,530,"COOP","24290"
"309442","WHITNEY POIN",-75.9667,42.3500,317,"COOP","24293"
"310212","APEX",-78.8372,35.7436,137,"COOP","24318"
"310531","BARNARDSVILL",-82.4325,35.7600,707,"COOP","24337"
"310750","B EVERETT JO",-79.0706,35.6542,94,"COOP","24350"
"310982","BOONE 1 SE",-81.6442,36.2114,1024,"COOP","24364"
"311055","BREVARD",-82.7053,35.2156,674,"COOP","24365"
"311165","BRYSON CITY",-83.4339,35.4464,591,"COOP","24371"
"311420","CANDLER 1 W",-82.7167,35.5167,718,"COOP","24380"
"311429","CANE CREEK R",-79.2306,35.9533,160,"COOP","24382"
"311535","CARY",-78.7878,35.7192,119,"COOP","24394"
"311677","CHAPEL HILL",-79.0794,35.9086,152,"COOP","24408"
"311975","CONCORD",-80.6006,35.4164,210,"COOP","24429"
"312200","CULLOWHEE",-83.1911,35.3256,668,"COOP","24441"
"312238","DANBURY 5 SE",-80.1422,36.3950,232,"COOP","24443"
"312631","EDEN",-79.7433,36.4742,207,"COOP","24463"
"312740","ELKIN",-80.8650,36.2544,265,"COOP","24473"
"313017","FAYETTEVILLE",-78.8583,35.0583,29,"COOP","24484"
"313152","FOREST CITY",-81.9892,35.3125,259,"COOP","24493"
"313555","GRAHAM 2 ENE",-79.3728,36.0503,201,"COOP","24520"
"313565","GRANDFATHER",-81.8325,36.1086,1615,"COOP","24521"
"313969","HENDERSON 2",-78.4119,36.3481,146,"COOP","24539"
"314055","HIGHLANDS",-83.1883,35.0531,1170,"COOP","24548"
"314260","HOT SPRINGS",-82.8314,35.8953,426,"COOP","24556"
"314675","KING 5 SW",-80.4292,36.2231,268,"COOP","24572"
"314764","LAKE LURE 2",-82.1878,35.4206,317,"COOP","24579"
"314860","LAURINBURG",-79.4664,34.7508,64,"COOP","24586"
"315116","LONGWOOD",-78.5453,34.0106,12,"COOP","24600"
"315175","LUMBER RVR S",-79.0022,34.3903,29,"COOP","24602"
"315177","LUMBERTON",-79.0247,34.6272,40,"COOP","24603"
"315340","MARION 2 NW",-82.0292,35.6631,447,"COOP","24614"
"315356","MARSHALL",-82.6658,35.8036,610,"COOP","24615"
"315838","MORGANTON",-81.6717,35.7308,354,"COOP","24636"
"315890","MOUNT AIRY 2",-80.6508,36.4992,317,"COOP","24638"
"315923","MT. MITCHELL",-82.2769,35.7453,1902,"COOP","24644"
"316001","MURPHY",-84.0239,35.0961,480,"COOP","24650"
"316096","NEWPORT MORE",-76.8769,34.7764,9,"COOP","24659"
"316256","NORTH WILKES",-81.1494,36.1631,341,"COOP","24670"
"316805","PISGAH FORES",-82.7031,35.2678,643,"COOP","24697"
"317319","ROANOKE RAPI",-77.6717,36.4783,64,"COOP","24732"
"317618","SALISBURY 9",-80.6167,35.7000,213,"COOP","24752"
"317845","SHELBY 2 NNE",-81.5336,35.3144,280,"COOP","24766"
"318158","SPARTA 2 SE",-81.0931,36.4819,916,"COOP","24784"
"318744","TRYON",-82.2517,35.2058,366,"COOP","24815"
"318906","VALE AG 2 SW",-81.4442,35.5233,274,"COOP","24820"
"319440","WILLIAMSTON",-77.0333,35.8500,6,"COOP","24844"
"319461","WILMINGTON 7",-77.8786,34.1425,9,"COOP","24846"
"319555","W KERR SCOTT",-81.2275,36.1308,326,"COOP","24854"
"319675","YADKINVILLE",-80.5481,36.1306,267,"COOP","24856"
"319704","YANCEYVILLE",-79.2544,36.3783,200,"COOP","24858"
"320382","ASHLEY",-99.3775,46.0358,610,"COOP","24875"
"320941","BOTTINEAU",-100.4386,48.8325,500,"COOP","24896"
"320995","BOWMAN",-103.4061,46.1825,908,"COOP","24901"
"321435","CAVALIER 7 N",-97.7014,48.8628,271,"COOP","24918"
"324091","HEART BUTTE",-101.8075,46.5917,650,"COOP","25014"
"324418","JAMESTOWN ST",-98.6850,46.8844,447,"COOP","25028"
"325002","LANSFORD",-101.3767,48.6278,491,"COOP","25046"
"325186","LIDGERWOOD",-97.0853,46.0422,347,"COOP","25052"
"325220","LISBON",-97.6822,46.4522,336,"COOP","25055"
"325638","MAX",-101.2922,47.8214,643,"COOP","25075"
"325660","MAYVILLE",-97.3514,47.4989,288,"COOP","25076"
"325754","MC LEOD 3 E",-97.2381,46.4025,328,"COOP","25080"
"325993","MINOT EXPERI",-101.2983,48.1794,539,"COOP","25098"
"326105","MONTPELIER",-98.5842,46.7000,421,"COOP","25103"
"329445","WILLOW CITY",-100.2931,48.6031,454,"COOP","25221"
"330676","BEVERLY STP",-81.6286,39.5469,244,"COOP","25268"
"331042","BRYAN 2 SE",-84.5272,41.4619,223,"COOP","25279"
"331072","BUCYRUS",-82.9694,40.8128,304,"COOP","25281"
"331404","CENTERBURG 2",-82.6500,40.3000,367,"COOP","25316"
"331458","CHARDON",-81.1833,41.5833,344,"COOP","25317"
"331592","CIRCLEVILLE",-82.9547,39.6106,205,"COOP","25342"
"332160","DENNISON WAT",-81.3433,40.3886,262,"COOP","25390"
"332485","EATON",-84.6336,39.7347,305,"COOP","25403"
"333029","GALLIPOLIS",-82.1822,38.8203,173,"COOP","25428"
"333500","HANNIBAL LOC",-80.8667,39.6667,189,"COOP","25457"
"333915","HUNTSVILLE 3",-83.8131,40.4803,314,"COOP","25473"
"335188","MIAMITOWN",-84.7000,39.2000,147,"COOP","25556"
"335505","MOSQUITO CRE",-80.7667,41.3000,277,"COOP","25575"
"335857","NEW LEXINGTO",-82.2156,39.7331,271,"COOP","25602"
"336465","PAULDING",-84.5922,41.1244,213,"COOP","25644"
"337400","ST PARIS 2 N",-83.9289,40.1394,360,"COOP","25701"
"338062","STOW 4 SE",-81.4042,41.1314,323,"COOP","25730"
"338552","URBANA WWTP",-83.7833,40.1000,305,"COOP","25763"
"338609","VAN WERT 1 S",-84.5808,40.8494,241,"COOP","25767"
"338794","WASHINGTON C",-83.4281,39.5269,303,"COOP","25778"
"338822","WAUSEON WATE",-84.1453,41.5183,229,"COOP","25780"
"339050","WEST UNION 6",-83.4356,38.8050,241,"COOP","25789"
"339312","WOOSTER EXP",-81.9167,40.7833,311,"COOP","25808"
"340193","ALVA 1 NE",-98.6447,36.8186,398,"COOP","25834"
"340256","ANTLERS",-95.6150,34.2208,152,"COOP","25844"
"341648","CENTRAHOMA 2",-96.3131,34.6008,216,"COOP","25937"
"341706","CHATTANOOGA",-98.6222,34.4497,352,"COOP","25941"
"341750","CHICKASHA EX",-97.9158,35.0489,331,"COOP","25954"
"342242","CRESCENT 1SE",-97.5842,35.9419,337,"COOP","25981"
"342660","DUNCAN",-97.9592,34.5011,343,"COOP","25993"
"342872","ELMORE CITY",-97.4506,34.6525,311,"COOP","26014"
"342912","ENID",-97.8747,36.4194,379,"COOP","26016"
"344001","HEALDTON",-97.4783,34.2200,294,"COOP","26092"
"344019","HELENA 1 SSE",-98.2661,36.5381,426,"COOP","26097"
"344202","HOBART",-99.0919,35.0256,472,"COOP","26105"
"344861","KINGFISHER",-97.9294,35.8583,320,"COOP","26138"
"345468","MADILL",-96.7708,34.0919,235,"COOP","26180"
"345589","MARSHALL",-97.6225,36.1522,319,"COOP","26192"
"346110","MULHALL 1 SE",-97.3900,36.0483,300,"COOP","26214"
"346139","MUTUAL",-99.1700,36.2278,576,"COOP","26219"
"346659","OKLAHOMA CIT",-97.5972,35.4056,394,"COOP","26244"
"347003","PERKINS",-97.0319,35.9686,268,"COOP","26274"
"347390","RALSTON",-96.7439,36.5044,251,"COOP","26291"
"349404","WAYNOKA",-98.8797,36.5758,460,"COOP","26421"
"350197","ANTELOPE 6 S",-120.7533,44.8197,924,"COOP","26484"
"350265","ARLINGTON",-120.2050,45.7211,84,"COOP","26490"
"350304","ASHLAND",-122.7144,42.2128,532,"COOP","26491"
"350897","BONNEVILLE D",-121.9519,45.6361,19,"COOP","26545"
"351407","CASCADE LOCK",-121.8833,45.6833,31,"COOP","26590"
"351836","COQUILLE CIT",-124.2025,43.1872,7,"COOP","26629"
"352693","ESTACADA 2 S",-122.3186,45.2689,137,"COOP","26721"
"352973","FLORENCE #2",-124.0947,44.0042,23,"COOP","26746"
"353827","HEPPNER",-119.5639,45.3653,575,"COOP","26829"
"354060","HOWARD PRAIR",-122.3814,42.2292,1392,"COOP","26843"
"354403","KENO",-121.9297,42.1297,1255,"COOP","26886"
"354501","KLAMATH FALL",-121.7631,42.2303,1295,"COOP","26895"
"355026","LOOKINGGLASS",-123.4853,43.1811,190,"COOP","26937"
"355160","MALHEUR BRAN",-117.0247,43.9794,689,"COOP","26955"
"355392","MCNARY DAM N",-119.2956,45.9306,110,"COOP","26980"
"355638","MITCHELL 2 E",-120.1156,44.5681,1012,"COOP","27000"
"355681","MOLALLA 7NE",-122.5064,45.1783,197,"COOP","27007"
"356252","ODELL LAKE E",-121.9639,43.5492,1463,"COOP","27060"
"356550","PENDLETON WF",-118.8517,45.6911,460,"COOP","27090"
"356883","PRINEVILLE",-120.8069,44.3075,888,"COOP","27124"
"357169","RIDDLE",-123.3572,42.9506,207,"COOP","27150"
"358173","SUMMER LAKE",-120.7897,42.9592,1278,"COOP","27243"
"358466","THREE LYNX",-122.0722,45.1250,341,"COOP","27272"
"358494","TILLAMOOK 1",-123.8728,45.4567,3,"COOP","27277"
"358634","TROUTDALE",-122.3886,45.5533,10,"COOP","27306"
"358746","UNION EXPERI",-117.8758,45.2081,843,"COOP","27319"
"359461","WINCHESTER",-123.3536,43.2828,140,"COOP","27379"
"360022","ACMETONIA LO",-79.8153,40.5361,228,"COOP","27394"
"360868","BRADFORD 4 S",-78.7144,41.8975,506,"COOP","27460"
"361139","BUTLER 2 SW",-79.9167,40.8500,305,"COOP","27478"
"361212","CANTON",-76.8611,41.6175,354,"COOP","27486"
"361362","CHANDLERS VA",-79.2969,41.9300,454,"COOP","27498"
"361377","CHARLEROI LO",-79.9000,40.1500,228,"COOP","27500"
"361705","CONFLUENCE 1",-79.3669,39.7994,454,"COOP","27529"
"361726","CONNELLSVILL",-79.5964,39.9969,274,"COOP","27535"
"361737","CONSHOHOCKEN",-75.3178,40.0744,21,"COOP","27539"
"361802","COUDERSPORT",-78.0417,41.7750,503,"COOP","27546"
"361810","COUDERSPORT",-77.9711,41.7392,655,"COOP","27551"
"361833","COVINGTON 2",-77.1167,41.7333,532,"COOP","27554"
"361838","COWANESQUE D",-77.1567,41.9903,351,"COOP","27555"
"361920","CARLISLE WAT",-77.1894,40.2258,131,"COOP","27560"
"362574","EMSWORTH L/D",-80.0833,40.5000,219,"COOP","27610"
"363028","FRANKLIN",-79.8306,41.4003,309,"COOP","27632"
"363130","GALETON",-77.6519,41.7356,410,"COOP","27636"
"363321","GLENMOORE",-75.7506,40.0997,152,"COOP","27652"
"363417","GRAMPIAN 1E",-78.5872,40.9667,460,"COOP","27659"
"363437","GRATERFORD 1",-75.4353,40.2306,73,"COOP","27662"
"363632","HAMBURG",-75.9953,40.5517,107,"COOP","27677"
"364432","KANE 1 NNE",-78.8036,41.6767,533,"COOP","27730"
"364763","LANCASTER 2",-76.2742,40.0500,91,"COOP","27751"
"364815","LAPORTE",-76.4925,41.4247,599,"COOP","27758"
"364934","LEHIGHTON 1",-75.6961,40.8222,177,"COOP","27770"
"364976","LEWISBURG",-76.8783,40.9486,152,"COOP","27773"
"364992","LEWISTOWN",-77.5697,40.5869,140,"COOP","27777"
"365686","MEYERSDALE 2",-79.0406,39.7808,610,"COOP","27824"
"365918","MOON TOWNSHI",-80.2172,40.5319,357,"COOP","27848"
"366151","NATRONA LOCK",-79.7167,40.6167,232,"COOP","27875"
"366921","PHILIPSBURG",-78.2153,40.8722,524,"COOP","27935"
"366955","PINE GROVE F",-77.3000,40.0333,270,"COOP","27942"
"367409","RENOVO",-77.7381,41.3297,201,"COOP","27988"
"367477","RIDGWAY",-78.7497,41.4200,415,"COOP","27996"
"367732","SAFE HARBOR",-76.3947,39.8958,59,"COOP","28007"
"367782","SALINA 3 W",-79.5458,40.5100,338,"COOP","28014"
"367863","SCHENLEY LOC",-79.6667,40.6833,239,"COOP","28019"
"367938","SELLERSVILLE",-75.3222,40.3589,104,"COOP","28025"
"368184","SLIPPERY ROC",-80.0667,41.0500,381,"COOP","28044"
"368244","SOMERSET",-79.0833,39.9964,640,"COOP","28050"
"368361","SPRINGBORO 3",-80.4333,41.8167,306,"COOP","28060"
"368400","SPRINGTOWN 1",-75.2686,40.5711,262,"COOP","28066"
"368449","STATE COLLEG",-77.8672,40.7933,357,"COOP","28069"
"368469","STEVENSON DA",-78.0167,41.4000,284,"COOP","28072"
"368668","SUNBURY",-76.7925,40.8544,134,"COOP","28087"
"368888","TITUSVILLE W",-79.7000,41.6333,372,"COOP","28105"
"368905","TOWANDA 1 S",-76.4428,41.7506,232,"COOP","28109"
"369298","WARREN",-79.1500,41.8500,369,"COOP","28138"
"369408","WELLSBORO 4",-77.3894,41.7003,554,"COOP","28151"
"369823","WOLFSBURG",-78.5278,40.0417,361,"COOP","28177"
"379423","WOONSOCKET",-71.4917,41.9889,35,"COOP","28222"
"380072","AIKEN 2 E",-81.6967,33.5500,165,"COOP","28223"
"380184","ANDREWS",-79.5736,33.4322,11,"COOP","28228"
"380204","ANTREVILLE",-82.5656,34.2558,206,"COOP","28229"
"380448","BAMBERG",-81.0306,33.3000,50,"COOP","28230"
"381241","CADES 4 W",-79.8500,33.8167,24,"COOP","28249"
"381633","CHESTER 1 NW",-81.2261,34.7208,158,"COOP","28266"
"383758","GREENWOOD 8N",-82.0350,34.2528,165,"COOP","28323"
"383990","HARTSVILLE",-80.1167,34.3664,67,"COOP","28325"
"384205","HOLLY HILL 1",-80.4183,33.3172,29,"COOP","28334"
"384449","JAMESTOWN",-79.6667,33.3000,0,"COOP","28341"
"384607","JOHNSTON 4 S",-81.8467,33.7775,189,"COOP","28344"
"384896","LAKE GREENWO",-81.9050,34.1683,152,"COOP","28350"
"385278","LONG CREEK",-83.2494,34.8158,521,"COOP","28357"
"386114","MULLINS 4 W",-79.2478,34.1944,34,"COOP","28381"
"386209","NEWBERRY",-81.6269,34.2825,145,"COOP","28386"
"386775","PELION 4 NW",-81.2742,33.7175,137,"COOP","28401"
"387687","SANDY SPRING",-82.7297,34.6058,250,"COOP","28431"
"387722","SANTUCK",-81.5206,34.6350,158,"COOP","28433"
"388426","SUMMERVILLE",-80.2322,33.0414,20,"COOP","28450"
"388472","TABLE ROCK",-82.6925,35.0197,311,"COOP","28453"
"388887","WALHALLA",-83.0842,34.7483,299,"COOP","28463"
"390043","ACADEMY 2 NE",-99.0631,43.4892,512,"COOP","28483"
"390120","ANDOVER NO.",-97.9064,45.4136,448,"COOP","28493"
"390128","ALEXANDRIA",-97.7853,43.6567,412,"COOP","28494"
"391049","BRITTON",-97.7519,45.7856,408,"COOP","28526"
"391392","CANTON 4 WNW",-96.6553,43.3156,410,"COOP","28540"
"391636","CHESTER 2 N",-96.9317,43.9283,544,"COOP","28560"
"392557","EDGEMONT",-103.8458,43.3036,1092,"COOP","28602"
"392797","EUREKA",-99.6417,45.7917,567,"COOP","28614"
"392927","FAULKTON 1 N",-99.1417,45.0394,479,"COOP","28620"
"393069","FORT MEADE",-103.4775,44.4100,1006,"COOP","28625"
"393211","GANN VALLEY",-98.9869,44.0344,518,"COOP","28633"
"394007","HOT SPRINGS",-103.4739,43.4378,1085,"COOP","28672"
"394037","HOWARD",-97.5242,44.0122,475,"COOP","28677"
"394516","KENNEBEC",-99.8636,43.9064,518,"COOP","28695"
"394834","LEAD",-103.7714,44.3533,1631,"COOP","28705"
"395090","MADISON 2 SE",-97.0925,43.9906,506,"COOP","28719"
"395481","MENNO",-97.5711,43.2356,404,"COOP","28733"
"395531","MILBANK",-96.6253,45.2203,352,"COOP","28735"
"395638","MISSION 14 S",-100.6083,43.1114,856,"COOP","28743"
"395870","MT RUSHMORE",-103.4578,43.8769,1600,"COOP","28759"
"395891","MURDO",-100.7078,43.8894,707,"COOP","28761"
"396304","ORAL",-103.2683,43.4033,902,"COOP","28774"
"396948","RAPID CITY W",-103.2108,44.0728,1030,"COOP","28801"
"397073","RED OWL",-102.5533,44.6978,844,"COOP","28812"
"397545","SELBY",-100.0450,45.5128,579,"COOP","28837"
"397666","SIOUX FALLS",-96.7300,43.5878,436,"COOP","28847"
"398307","TIMBER LAKE",-101.0731,45.4283,670,"COOP","28868"
"398472","TYNDALL",-97.8619,42.9939,433,"COOP","28872"
"398622","VERMILLION 2",-96.9194,42.7625,363,"COOP","28878"
"398652","VICTOR 4 NNE",-96.7864,45.9231,329,"COOP","28881"
"399004","WEBSTER",-97.5228,45.3331,565,"COOP","28891"
"400669","BETHPAGE 1 S",-86.3278,36.4642,171,"COOP","28940"
"401145","BROWNSVILLE",-89.2586,35.5894,101,"COOP","28960"
"401795","CLARKSVILLE",-87.3356,36.4975,151,"COOP","29005"
"401887","COALMONT",-85.7003,35.3686,566,"COOP","29011"
"401957","COLUMBIA 3 W",-87.0872,35.6386,198,"COOP","29018"
"402388","DECATUR 7NE",-84.6650,35.6394,229,"COOP","29044"
"402390","DECATURVILLE",-88.1175,35.5953,151,"COOP","29045"
"402806","ELIZABETHTON",-82.2325,36.3644,535,"COOP","29066"
"402989","FAIRVIEW BOW",-87.1364,35.9861,262,"COOP","29080"
"403420","GATLINBURG 2",-83.5369,35.6878,443,"COOP","29105"
"404033","HENDERSON 4",-88.7244,35.4442,140,"COOP","29128"
"404417","HUNTINGDON W",-88.4253,36.0028,134,"COOP","29135"
"404561","JACKSON EXP",-88.8456,35.6214,122,"COOP","29142"
"404590","JAMESTOWN",-84.9414,36.4256,515,"COOP","29148"
"404871","KINGSTON",-84.5275,35.8581,223,"COOP","29171"
"405118","LEBANON 7 N",-86.2631,36.2981,155,"COOP","29196"
"405187","LEWISBURG EX",-86.8083,35.4142,240,"COOP","29198"
"405210","LEXINGTON",-88.3975,35.6467,165,"COOP","29201"
"405595","MANCHESTER #",-86.0875,35.5158,326,"COOP","29232"
"405681","MARTIN U OF",-88.8636,36.3444,104,"COOP","29234"
"405956","MEMPHIS WFO",-89.8036,35.1297,94,"COOP","29254"
"406012","MILAN EXP ST",-88.7389,35.9158,130,"COOP","29257"
"406170","MONTEREY",-85.2639,36.1542,567,"COOP","29261"
"406272","MORRISTOWN W",-83.4011,36.1678,408,"COOP","29270"
"406328","MT LECONTE",-83.4411,35.6550,1979,"COOP","29276"
"406403","NASHVILLE BE",-86.6833,36.1083,171,"COOP","29286"
"406493","NEWCOMB",-84.1722,36.5522,300,"COOP","29295"
"406534","NEWPORT 1 NW",-83.2008,35.9833,316,"COOP","29296"
"406619","NORRIS",-84.0603,36.2131,338,"COOP","29301"
"406803","OLD HICKORY",-86.6569,36.2953,140,"COOP","29312"
"406806","OLD HICKORY",-86.5631,36.2469,180,"COOP","29313"
"407808","ROCK ISLAND",-85.6378,35.8083,268,"COOP","29354"
"408160","SELMER",-88.5994,35.1647,143,"COOP","29369"
"408184","SEWANEE",-85.9172,35.2025,579,"COOP","29372"
"408242","SHELBYVILLE",-86.4458,35.5611,245,"COOP","29376"
"408405","SMITHVILLE 2",-85.7925,35.9661,320,"COOP","29385"
"408450","SOMERVILLE 1",-89.3717,35.3883,113,"COOP","29390"
"408522","SPARTA",-85.4814,35.9567,311,"COOP","29395"
"408562","SPRINGFIELD",-86.8472,36.4739,227,"COOP","29398"
"408868","TAZEWELL",-83.5603,36.4650,416,"COOP","29409"
"410012","ABERNATHY",-101.8581,33.8400,1024,"COOP","29466"
"410206","ALVORD 3 N",-97.7164,33.3867,254,"COOP","29503"
"410225","AMISTAD DAM",-101.0286,29.4608,353,"COOP","29508"
"410271","ANTELOPE",-98.3708,33.4406,317,"COOP","29519"
"410297","AQUILLA 1 SS",-97.2114,31.8411,158,"COOP","29522"
"410337","ARLINGTON",-97.1275,32.7394,200,"COOP","29527"
"410394","ASPERMONT",-100.2333,33.1525,534,"COOP","29532"
"410404","ATHENS",-95.8294,32.1639,137,"COOP","29534"
"410408","ATLANTA",-94.1661,33.1244,96,"COOP","29536"
"410493","BALLINGER 2",-99.9758,31.7411,535,"COOP","29563"
"410613","BEAUMONT RES",-94.2928,30.0689,8,"COOP","29594"
"410691","BENBROOK DAM",-97.4439,32.6475,241,"COOP","29604"
"410784","BIG SPRING F",-101.4858,32.2683,765,"COOP","29614"
"410902","BOERNE",-98.7347,29.7978,440,"COOP","29627"
"410923","BONHAM 3 NNE",-96.1678,33.6397,183,"COOP","29631"
"410926","BONITA 4 NW",-97.6528,33.8472,300,"COOP","29632"
"411048","BRENHAM",-96.3972,30.1589,95,"COOP","29655"
"411128","BROWNFIELD 2",-102.2608,33.1800,1006,"COOP","29666"
"411138","BROWNWOOD",-98.9647,31.6783,422,"COOP","29670"
"411250","BURNET",-98.2339,30.7425,389,"COOP","29693"
"411267","BUSHLAND 1 W",-102.0797,35.1867,1164,"COOP","29696"
"411337","CALLIHAM",-98.3953,28.4958,66,"COOP","29702"
"411500","CARTHAGE",-94.3503,32.1394,104,"COOP","29740"
"411524","CASTOLON",-103.5150,29.1358,661,"COOP","29746"
"411578","CENTER",-94.1642,31.8075,99,"COOP","29756"
"411715","CHISOS BASIN",-103.3011,29.2794,1615,"COOP","29782"
"411720","CHOKE CANYON",-98.2525,28.4675,70,"COOP","29783"
"411880","COLETO CREEK",-97.1744,28.7158,36,"COOP","29809"
"411968","COOPER DAM",-95.6039,33.3192,141,"COOP","29834"
"411974","COPE RANCH",-101.2831,31.5331,756,"COOP","29838"
"412011","CORPUS CHRIS",-97.5056,27.7792,13,"COOP","29843"
"412013","C C BOTANICA",-97.4072,27.6528,5,"COOP","29845"
"412019","CORSICANA",-96.4747,32.1078,126,"COOP","29851"
"412082","CRANE 2E",-102.3125,31.4014,797,"COOP","29869"
"412088","CRAWFORD",-97.4525,31.5333,215,"COOP","29872"
"412114","CROCKETT",-95.4508,31.3072,106,"COOP","29877"
"412121","CROSBYTON",-101.2450,33.6517,917,"COOP","29879"
"412142","CROWELL",-99.7283,33.9883,451,"COOP","29885"
"412266","DANEVANG 1 W",-96.2319,29.0567,21,"COOP","29908"
"412464","DIMMITT 2 N",-102.3119,34.5858,1173,"COOP","29948"
"412621","DUMONT",-100.5169,33.8094,613,"COOP","29968"
"412820","ELGIN",-97.3683,30.3494,176,"COOP","30009"
"413195","FLOMOT 2E",-100.9561,34.2319,721,"COOP","30054"
"413196","FLOMOT 4 NE",-100.9336,34.2675,719,"COOP","30055"
"413214","FLOYDADA",-101.3361,33.9869,981,"COOP","30061"
"413215","FLOYDADA 9 S",-101.2464,33.8761,954,"COOP","30062"
"413262","FORT DAVIS",-103.8861,30.6033,1481,"COOP","30071"
"413285","FORT WORTH W",-97.2975,32.8339,196,"COOP","30086"
"413368","FRIONA",-102.7111,34.6425,1222,"COOP","30108"
"413370","FRISCO",-96.8122,33.1519,226,"COOP","30109"
"413507","GEORGETOWN L",-97.7172,30.6836,256,"COOP","30134"
"413624","GONZALES 10",-97.5181,29.4356,111,"COOP","30154"
"413675","GRANBURY 5N",-97.8072,32.5217,237,"COOP","30166"
"413691","GRAPEVINE DA",-97.0553,32.9506,178,"COOP","30175"
"413787","GRUVER",-101.4056,36.2639,966,"COOP","30184"
"413877","HALLSVILLE 1",-94.5892,32.5117,76,"COOP","30199"
"413954","HARPER",-99.2556,30.3008,634,"COOP","30211"
"413972","HART",-102.0903,34.3653,1109,"COOP","30212"
"414081","HENDERSON",-94.7967,32.1822,128,"COOP","30232"
"414382","HUNTSVILLE",-95.5422,30.7064,151,"COOP","30296"
"414577","JEFFERSON",-94.3347,32.7706,61,"COOP","30327"
"414810","KINGSVILLE",-97.8617,27.5236,20,"COOP","30376"
"414950","LAJITAS",-103.7569,29.2694,732,"COOP","30396"
"414967","LAKE ALAN HE",-101.0489,33.0642,695,"COOP","30398"
"414968","LAKE AMENT",-103.4994,29.4589,1100,"COOP","30399"
"414976","LAKE FORK RE",-95.5275,32.8242,126,"COOP","30404"
"414982","LAKE KEMP",-99.1442,33.7542,356,"COOP","30410"
"415048","LANGTRY",-101.5603,29.7931,393,"COOP","30416"
"415060","LAREDO 2",-99.4917,27.5683,131,"COOP","30420"
"415265","LITTLEFIELD",-102.3253,33.9106,1068,"COOP","30462"
"415410","LUBBOCK 9 N",-101.8219,33.6897,989,"COOP","30489"
"415435","LUMBERTON",-94.1786,30.2503,12,"COOP","30500"
"415618","MARSHALL",-94.3508,32.5403,107,"COOP","30531"
"415658","MATADOR",-100.8236,34.0194,698,"COOP","30537"
"415661","MATHIS 4 SSW",-97.8725,28.0372,42,"COOP","30539"
"415701","MCALLEN",-98.2511,26.1917,30,"COOP","30545"
"415821","MEMPHIS",-100.5372,34.7261,637,"COOP","30561"
"416024","MONTGOMERY",-95.6969,30.3908,98,"COOP","30610"
"416074","MORTON",-102.7586,33.7186,1146,"COOP","30616"
"416135","MULESHOE NO",-102.7328,34.2192,1151,"COOP","30638"
"416137","MULESHOE NTL",-102.7783,33.9544,1140,"COOP","30640"
"416273","NEW BRAUNFEL",-98.0286,29.7044,191,"COOP","30662"
"416506","ODESSA 1SE",-102.3586,31.8367,880,"COOP","30693"
"416680","ORANGE 9 N",-93.7394,30.2264,5,"COOP","30708"
"416740","PADUCAH",-100.3014,34.0106,579,"COOP","30718"
"416742","PADUCAH 15 S",-100.3131,33.8228,553,"COOP","30720"
"416776","PAMPA 2",-100.9736,35.5544,975,"COOP","30728"
"416792","PANTHER JUNC",-103.2061,29.3272,1140,"COOP","30736"
"416950","PERRYTON",-100.8239,36.3897,890,"COOP","30751"
"417074","PLAINS",-102.8281,33.1869,1120,"COOP","30769"
"417081","PLAINVIEW WA",-101.7461,34.1981,1052,"COOP","30771"
"417111","PLEASANTON",-98.4867,28.9600,127,"COOP","30774"
"417206","POST",-101.3817,33.1911,799,"COOP","30795"
"417622","RIO GRANDE C",-98.8117,26.3769,52,"COOP","30867"
"417663","ROARING SPRI",-100.8667,33.9000,763,"COOP","30877"
"417836","RUNGE",-97.7042,28.8889,94,"COOP","30916"
"417873","SABINAL",-99.4864,29.3622,290,"COOP","30919"
"417936","SAM RAYBURN",-94.1011,31.0619,58,"COOP","30928"
"417981","SAN MANUEL",-98.1167,26.5667,23,"COOP","30945"
"418040","SANFORD DAM",-101.5492,35.7047,895,"COOP","30956"
"418187","SEGUIN 1 SSW",-97.9697,29.5519,153,"COOP","30978"
"418201","SEMINOLE",-102.6597,32.7136,1005,"COOP","30979"
"418232","SHALLOWATER",-101.9853,33.6878,1011,"COOP","30985"
"418373","SLATON 5 SE",-101.6000,33.3717,930,"COOP","31009"
"418446","SOMERVILLE D",-96.5403,30.3367,80,"COOP","31018"
"418743","SULPHUR SPRI",-95.6333,33.1500,151,"COOP","31070"
"418818","TAHOKA",-101.7981,33.1714,951,"COOP","31077"
"418924","TERLINGUA",-103.5950,29.3485,802,"COOP","31108"
"418964","TEXLINE",-102.8333,36.4167,1350,"COOP","31116"
"419101","TOWN BLUFF D",-94.1833,30.8000,65,"COOP","31143"
"419175","TULIA",-101.7633,34.5303,1058,"COOP","31159"
"419270","VALENTINE",-104.4914,30.5908,1353,"COOP","31175"
"419361","VICTORIA FIR",-97.0181,28.8608,31,"COOP","31198"
